GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
face-attendance-backend,com.example.faceattendance.controller,UserController,0,40,0,0,0,10,0,5,0,5
face-attendance-backend,com.example.faceattendance.controller,MeetingController,0,165,2,14,0,34,2,13,0,7
face-attendance-backend,com.example.faceattendance.controller,AttendanceController,0,19,0,0,0,5,0,3,0,3
face-attendance-backend,com.example.faceattendance.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
face-attendance-backend,com.example.faceattendance.exception,GlobalExceptionHandler,18,43,3,1,4,8,3,6,1,6
face-attendance-backend,com.example.faceattendance.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
face-attendance-backend,com.example.faceattendance.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
face-attendance-backend,com.example.faceattendance.service,MeetingService,11,256,10,20,2,51,10,17,0,12
face-attendance-backend,com.example.faceattendance.service,UserService,0,177,0,8,0,39,0,12,0,8
face-attendance-backend,com.example.faceattendance.service,AttendanceService,0,298,1,25,0,79,1,18,0,6
face-attendance-backend,com.example.faceattendance,FaceAttendanceApplication,5,3,0,0,2,1,1,1,1,1
face-attendance-backend,com.example.faceattendance.entity,Meeting.MeetingStatus,0,27,0,0,0,2,0,1,0,1
face-attendance-backend,com.example.faceattendance.entity,User.AttendanceStatus,0,15,0,0,0,2,0,1,0,1
face-attendance-backend,com.example.faceattendance.entity,Attendance.AttendanceStatus,0,15,0,0,0,2,0,1,0,1
face-attendance-backend,com.example.faceattendance.entity,Attendance,35,42,0,0,15,18,9,12,9,12
face-attendance-backend,com.example.faceattendance.entity,User,25,55,0,0,11,23,6,15,6,15
face-attendance-backend,com.example.faceattendance.entity,Meeting,23,78,0,0,11,32,5,22,5,22
face-attendance-backend,com.example.faceattendance.entity,MeetingParticipant,24,11,0,0,10,5,7,3,7,3
face-attendance-backend,com.example.faceattendance.dto,UserRequestDTO,0,38,0,0,0,16,0,11,0,11
face-attendance-backend,com.example.faceattendance.dto,AttendanceRequestDTO,0,10,0,0,0,4,0,3,0,3
face-attendance-backend,com.example.faceattendance.dto,UserResponseDTO,0,52,0,0,0,22,0,15,0,15
